,Acer_sp1,Aconitum_sp1,Allium_sp1,Alnus_glutinosa,Alnus_sp1,Ambrosia_sp1,Antennaria_sp1,Anthemis_sp1,Apiaceae_sp1,Aquilea_sp1,Arbutus_sp1,Armeria_sp1,Artemisia_sp1,Asparagus_sp1,Asphodelus_sp1,Asteraceae_sp1,Asteraceae_sp2,Asteraceae_sp3,Berberis_sp1,Betula_alba,Brassicaceae_sp1,Calicotome_sp1,Calluna_sp1,Calluna_vulgaris,Campanula_sp1,Campanulaceae_sp1,Caryophyllaceae_sp1,Castanea_sp1,Celtis_sp1,Centaurea_jacea,Centaurea_nigra,Centaurea_sp1,Chenopodiaceae_sp1,Cistaceae_sp1,Cistus_ladanifer,Cistus_sp1,Corylus_avellana,Corylus_sp1,Crataegus_sp1,Cyperaceae_sp1,Cytisus_sp1,Daphne_oleoides,Daphne_sp1,Dipsacaceae_sp1,Echium_sp1,Ephedra_distachya,Ephedra_fragilis,Epilobium_sp1,Erica_arborea,Erica_australis,Erica_sp1,Erica_umbellata,Ericaceae_sp1,Erodium_sp1,Eryngium_campestre,Euphorbia_sp1,Fabaceae_sp1,Fagus_sp1,Filago_sp1,Filipendula_sp1,Frangula_alnus,Frangula_sp1,Fraxinus_sp1,Fritillaria_lusitanica,Galium_sp1,Genista_sp1,Gentiana_lutea,Gentiana_sp1,Gentianaceae_sp1,Gentianella_sp1,Geranium_sp1,Geum_sp1,Halimium_sp1,Hedera_helix,Hedera_sp1,Helianthemum_sp1,Herniaria_sp1,Humulus_sp1,Hypericum_perforatum,Ilex_aquifolium,Ilex_sp1,Juglans_regia,Juglans_sp1,Juniperus_communis,Juniperus_sp1,Lamiaceae_sp1,Liliaceae_sp1,Lonicera_periclymenum,Lotus_sp1,Lygeum_sp1,Lysimachia_sp1,Lythrum_sp1,Maytenus_sp1,Myrica_sp1,Myriophillum_spicatum,Myrtus_communis,Myrtus_sp1,Narcissus_bulbocodium,Narcissus_pseudonarcissus,Nigella_sp1,Nymphaea_alba,Nymphaea_sp1,Olea_europaea,Olea_sp1,Ononis_sp1,Ostrya_sp1,Osyris_sp1,Oxyria_sp1,Papaver_sp1,Parnassia_sp1,Pedicularis_sylvatica,Periploca_sp1,Pinus_pinaster,Pinus_sylvestris,Pistacia_sp1,Plantago_coronopus,Plantago_lanceolata,Plantago_major,Plantago_radicata,Plantago_sp1,Plumbaginaceae_sp1,Poaceae_sp1,Polygala_sp1,Polygonum_aviculare,Populus_sp1,Potamogeton_sp1,Potentilla_sp1,Quercus_caducifolios,Quercus_ilex,Quercus_sp1,Ranunculaceae_sp1,Ranunculus_batrachium,Ranunculus_sp1,Rhamnus_sp1,Rhododendron_sp1,Rosaceae_sp1,Rubiaceae_sp1,Rumex_acetosella,Rumex_eurumex,Rumex_obtusifolius,Rumex_sp1,Salix_sp1,Sanguisobar_minor,Sanguisobar_officinalis,Sarothamnus_grandiflorus,Saxifraga_granulata,Saxifraga_stellaris,Scrophulariaceae_sp1,Sedum_sp1,Silene_sp1,Sorbus_aucuparia,Sorbus_sp1,Tamarix_sp1,Taxus_baccata,Taxus_sp1,Teucrium_sp1,Thalictrum_sp1,Thymelaeaceae_sp1,Tilia_sp1,Typha_latifolia,Typha_sp1,Ulmus_sp1,Urtica_dioica,Vaccinium_sp1,Veratrum_album,Vicia_sp1,Withania_sp1,Ziziphus_sp1
LagodeAjo,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LagoBurgo,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TurberadelPradell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tramacastilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IbndelasRanas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LagunadeRoSeco,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,11,0,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gador,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,3,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,45,0,2,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
LagoaComprida,0,0,0,5,5,0,0,0,6,0,0,4,4,0,0,4,4,0,0,10,3,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,29,0,0,0,0,0,0,0,0,37,1,0,1,59,0,0,0,3,0,0,0,3,3,0,3,7,0,5,5,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,84,0,0,0,5,5,0,0,49,20,35,0,0,0,0,0,4,0,0,12,4,0,0,3,0,4,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0
LaPanera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Serranillos,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,0,0,0,0,0,0,0,14,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0